,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,WRT,WRT WRT,,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,SCT,VOI,Blank Votes
,,Hillary Clinton and,Donald J Trump and,Donald J Trump and,Jill Stein and Ajamu,Hillary Clinton and,Gary E Johnson and,Hillary Clinton and,Gary Johnson and,EVAN MCMULLEN,DR. LYNN KHAN,CHRIS KENISTON EMIDIO SOLTYSIK,,TOM HOEFLING,LYNN KAHN,MICHAEL,GLORIA LARIBA,Ben Hartnell,DARRELL CASTLE,TOM MATUREN,Willie Carter,Evan McMullen,Scatter,Void,
,,Tim Kaine,Michael R Pence,Michael R Pence,Baraka,Tim Kaine,Bill F Weld,Tim Kaine,Bill Weld,,,,,,,MATUREN,,,,,,,,,
1,501,156,264,12,5,8,24,1,10,2,,,,,,,,,,,,,10,,9
2,192,71,90,7,3,8,7,0,0,,,,,,,,,,,,,,,,6
WARD TOTALS,693,227,354,19,8,16,31,1,10,2,0,0 0,,0,0,0,0,0,0,0,0,0,10,0,15
