,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,WRT,WRT WRT,,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,SCT,VOI,Blank Votes
,,Hillary Clinton and,Donald J Trump and,Donald J Trump and,Jill Stein and Ajamu,Hillary Clinton and,Gary E Johnson and,Hillary Clinton and,Gary Johnson and,EVAN MCMULLEN,DR. LYNN KHAN,CHRIS KENISTON EMIDIO SOLTYSIK,,TOM HOEFLING,LYNN KAHN,MICHAEL,GLORIA LARIBA,Ben Hartnell,DARRELL CASTLE,TOM MATUREN,Willie Carter,Evan McMullen,Scatter,Void,
,,Tim Kaine,Michael R Pence,Michael R Pence,Baraka,Tim Kaine,Bill F Weld,Tim Kaine,Bill Weld,,,,,,,MATUREN,,,,,,,,,
1,569,174,313,15,14,9,19,1,8,,,,,,1,,,,,,,,11,,4
2,837,344,380,31,7,20,26,2,4,,,,,,,,,,,,,,10,,13
3,704,284,304,29,14,11,21,10,4,,,,,,,,,,,,,,12,,15
WARD TOTALS,2110,802,997,75,35,40,66,13,16,0,0,0 0,,0,1,0,0,0,0,0,0,0,33,0,32
