,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,WRT,WRT WRT,,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,SCT,VOI,Blank Votes
,,Hillary Clinton and,Donald J Trump and,Donald J Trump and,Jill Stein and Ajamu,Hillary Clinton and,Gary E Johnson and,Hillary Clinton and,Gary Johnson and,EVAN MCMULLEN,DR. LYNN KHAN,CHRIS KENISTON EMIDIO SOLTYSIK,,TOM HOEFLING,LYNN KAHN,MICHAEL,GLORIA LARIBA,Ben Hartnell,DARRELL CASTLE,TOM MATUREN,Willie Carter,Evan McMullen,Scatter,Void,
,,Tim Kaine,Michael R Pence,Michael R Pence,Baraka,Tim Kaine,Bill F Weld,Tim Kaine,Bill Weld,,,,,,,MATUREN,,,,,,,,,
1,902,300,454,36,17,13,25,5,11,1,,,,,1,,,,,,,,16,,23
2,604,211,310,28,10,5,20,2,8,,,,,,,,,,,,,,8,,2
3,452,149,238,18,6,8,15,1,8,,,,,,,,,,,,,,6,,3
WARD TOTALS,1958,660,1002,82,33,26,60,8,27,1,0,0 0,,0,1,0,0,0,0,0,0,0,30,0,28
