,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,WRT,WRT WRT,,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,SCT,VOI,Blank Votes
,,Hillary Clinton and,Donald J Trump and,Donald J Trump and,Jill Stein and Ajamu,Hillary Clinton and,Gary E Johnson and,Hillary Clinton and,Gary Johnson and,EVAN MCMULLEN,DR. LYNN KHAN,CHRIS KENISTON EMIDIO SOLTYSIK,,TOM HOEFLING,LYNN KAHN,MICHAEL,GLORIA LARIBA,Ben Hartnell,DARRELL CASTLE,TOM MATUREN,Willie Carter,Evan McMullen,Scatter,Void,
,,Tim Kaine,Michael R Pence,Michael R Pence,Baraka,Tim Kaine,Bill F Weld,Tim Kaine,Bill Weld,,,,,,,MATUREN,,,,,,,,,
1,769,344,315,39,9,9,12,5,10,,,,,,,,,,,,,,17,,9
2,830,358,375,20,6,8,15,5,17,,,,,,,,,,,,,,16,,10
3,840,334,373,37,18,18,21,5,11,,,,,,,,,,,,,,13,,10
WARD TOTALS,2439,1036,1063,96,33,35,48,15,38,0,0,0 0,,0,0,0,0,0,0,0,0,0,46,0,29
