Name Party,Code,,Vote Count 1 2,Ab/Aff/Spec/Fed,Total Voters,Total
County Election,,,,,,
Column 01,,,,,,
Pos A01 PRESIDENT/VICE PRESIDENT,,,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,
Pos B01 PRESIDENT/VICE PRESIDENT,,,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,
TRUMP/PENCE REPUB,01 01,,399,0 19,,,,,,418
TRUMP/PENCE REPUB,01 02,,175,166 30,,,,,,371
TRUMP/PENCE REPUB,01 03,,168,0 10,,,,,,178
TRUMP/PENCE REPUB,01 04,,153,0 14,,,,,,167
TRUMP/PENCE REPUB,01 05,,166,0 18,,,,,,184
TRUMP/PENCE REPUB,01 06,,268,0 29,,,,,,297
TRUMP/PENCE REPUB,01 07,,168,0 9,,,,,,177
TRUMP/PENCE REPUB,01 08,,65,77 9,,,,,,151
TRUMP/PENCE REPUB,01 09,,156,0 10,,,,,,166
TRUMP/PENCE REPUB,01 10,,302,0 30,,,,,,332
"",Arcadia,,"2,020",243 178,,,,,,"2,441"
TRUMP/PENCE REPUB,02 01,,358,0 26,,,,,,384
"",Butler,,358,0 26,,,,,,384
TRUMP/PENCE REPUB,03 01,,131,81 15,,,,,,227
TRUMP/PENCE REPUB,03 02,,117,76 20,,,,,,213
TRUMP/PENCE REPUB,03 03,,109,79 14,,,,,,202
TRUMP/PENCE REPUB,03 04,,107,51 16,,,,,,174
"",Galen,,464,287 65,,,,,,816
TRUMP/PENCE REPUB,04 01,,196,0 21,,,,,,217
TRUMP/PENCE REPUB,04 02,,256,0 20,,,,,,276
"",Huron,,452,0 41,,,,,,493
TRUMP/PENCE REPUB,05 01,,206,0 19,,,,,,225
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
TRUMP/PENCE,REPUB,05 02,,162,0,13,,175
TRUMP/PENCE,REPUB,05 03,,169,0,8,,177
TRUMP/PENCE,REPUB,05 04,,173,0,14,,187
TRUMP/PENCE,REPUB,05 05,,197,0,17,,214
"",,Lyons,,907,0,71,,978
TRUMP/PENCE,REPUB,06 01,,160,221,20,,401
TRUMP/PENCE,REPUB,06 02,,226,304,28,,558
TRUMP/PENCE,REPUB,06 03,,271,175,48,,494
TRUMP/PENCE,REPUB,06 04,,204,120,17,,341
TRUMP/PENCE,REPUB,06 05,,361,0,14,,375
"",,Macedon,,"1,222",820,127,,"2,169"
TRUMP/PENCE,REPUB,07 01,,269,0,9,,278
TRUMP/PENCE,REPUB,07 02,,269,0,6,,275
TRUMP/PENCE,REPUB,07 03,,331,0,15,,346
TRUMP/PENCE,REPUB,07 04,,283,0,14,,297
"",,Marion,,"1,152",0,44,,"1,196"
TRUMP/PENCE,REPUB,08 01,,139,238,25,,402
TRUMP/PENCE,REPUB,08 02,,526,6,17,,549
TRUMP/PENCE,REPUB,08 03,,521,0,30,,551
TRUMP/PENCE,REPUB,08 04,,256,0,12,,268
TRUMP/PENCE,REPUB,08 05,,328,0,11,,339
TRUMP/PENCE,REPUB,08 06,,295,206,28,,529
"",,Ontario,,"2,065",450,123,,"2,638"
TRUMP/PENCE,REPUB,09 01,,89,124,15,,228
TRUMP/PENCE,REPUB,09 02,,81,128,9,,218
TRUMP/PENCE,REPUB,09 03,,78,95,6,,179
TRUMP/PENCE,REPUB,09 04,,138,167,11,,316
TRUMP/PENCE,REPUB,09 05,,313,0,21,,334
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
TRUMP/PENCE,REPUB,09 06,,122,129,16,,267
"",,Palmyra,,821,643,78,,"1,542"
TRUMP/PENCE,REPUB,10 01,,255,0,15,,270
TRUMP/PENCE,REPUB,10 02,,242,0,15,,257
"",,Rose,,497,0,30,,527
TRUMP/PENCE,REPUB,11 01,,167,0,9,,176
TRUMP/PENCE,REPUB,11 02,,194,0,10,,204
"",,Savannah,,361,0,19,,380
TRUMP/PENCE,REPUB,12 01,,183,0,27,,210
TRUMP/PENCE,REPUB,12 02,,104,162,14,,280
TRUMP/PENCE,REPUB,12 03,,91,178,19,,288
TRUMP/PENCE,REPUB,12 04,,341,0,27,,368
TRUMP/PENCE,REPUB,12 05,,140,96,23,,259
TRUMP/PENCE,REPUB,12 06,,153,131,20,,304
"",,Sodus,,"1,012",567,130,,"1,709"
TRUMP/PENCE,REPUB,13 01,,105,226,15,,346
TRUMP/PENCE,REPUB,13 02,,403,282,33,,718
TRUMP/PENCE,REPUB,13 03,,502,0,15,,517
TRUMP/PENCE,REPUB,13 04,,371,0,13,,384
TRUMP/PENCE,REPUB,13 05,,241,108,26,,375
"",,Walworth,,"1,622",616,102,,"2,340"
TRUMP/PENCE,REPUB,14 01,,145,51,13,,209
TRUMP/PENCE,REPUB,14 02,,353,0,11,,364
TRUMP/PENCE,REPUB,14 03,,361,116,36,,513
TRUMP/PENCE,REPUB,14 04,,269,0,15,,284
TRUMP/PENCE,REPUB,14 05,,361,0,19,,380
"",,Williamson,,"1,489",167,94,,"1,750"
TRUMP/PENCE,REPUB,15 01,,105,73,11,,189
Name Party,Code,,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total
TRUMP/PENCE REPUB,15 02,,70,36 5,,,,,,111
TRUMP/PENCE REPUB,15 03,,148,90 20,,,,,,258
TRUMP/PENCE REPUB,15 04,,185,88 27,,,,,,300
"",Wolcott,,508,287 63,,,,,,858
"* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",,,,PRESIDENT/VICE PRESIDENT,,,Total,Pos,B01,"20,221"
Pos C01 PRESIDENT/VICE PRESIDENT,,,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,
TRUMP/PENCE CONSE,01 01,,68,0 3,,,,,,71
TRUMP/PENCE CONSE,01 02,,22,16 1,,,,,,39
TRUMP/PENCE CONSE,01 03,,16,0 5,,,,,,21
TRUMP/PENCE CONSE,01 04,,19,0 0,,,,,,19
TRUMP/PENCE CONSE,01 05,,21,0 0,,,,,,21
TRUMP/PENCE CONSE,01 06,,36,0 3,,,,,,39
TRUMP/PENCE CONSE,01 07,,25,0 2,,,,,,27
TRUMP/PENCE CONSE,01 08,,9,1 2,,,,,,12
TRUMP/PENCE CONSE,01 09,,23,0 1,,,,,,24
TRUMP/PENCE CONSE,01 10,,41,0 4,,,,,,45
"",Arcadia,,280,17 21,,,,,,318
TRUMP/PENCE CONSE,02 01,,56,0 4,,,,,,60
"",Butler,,56,0 4,,,,,,60
TRUMP/PENCE CONSE,03 01,,15,14 2,,,,,,31
TRUMP/PENCE CONSE,03 02,,13,11 2,,,,,,26
TRUMP/PENCE CONSE,03 03,,18,11 3,,,,,,32
TRUMP/PENCE CONSE,03 04,,8,8 0,,,,,,16
"",Galen,,54,44 7,,,,,,105
TRUMP/PENCE CONSE,04 01,,37,0 7,,,,,,44
TRUMP/PENCE CONSE,04 02,,39,0 3,,,,,,42
"",Huron,,76,0 10,,,,,,86
TRUMP/PENCE CONSE,05 01,,30,0 1,,,,,,31
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
TRUMP/PENCE,CONSE,05 02,,15,0,2,,17
TRUMP/PENCE,CONSE,05 03,,21,0,1,,22
TRUMP/PENCE,CONSE,05 04,,39,0,0,,39
TRUMP/PENCE,CONSE,05 05,,31,0,4,,35
"",,Lyons,,136,0,8,,144
TRUMP/PENCE,CONSE,06 01,,24,29,5,,58
TRUMP/PENCE,CONSE,06 02,,28,48,8,,84
TRUMP/PENCE,CONSE,06 03,,43,27,2,,72
TRUMP/PENCE,CONSE,06 04,,34,17,5,,56
TRUMP/PENCE,CONSE,06 05,,49,0,2,,51
"",,Macedon,,178,121,22,,321
TRUMP/PENCE,CONSE,07 01,,40,0,5,,45
TRUMP/PENCE,CONSE,07 02,,48,0,4,,52
TRUMP/PENCE,CONSE,07 03,,56,0,0,,56
